Alcohol,Alcohol_12months,Alcohol_ever,Marijuana,Marijuana_30days,Marijuana_12months,Marijuana_ever,Heroin,Heroin_30days,Heroin_12months,Heroin_ever,Cocaine,Cocaine_30days,Cocaine_12months,Cocaine_ever,Age,Sex,Race,State,time_of_use,drug_type,num_drugs,Age_group
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,21,Female, Black (NH),NJ,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,18-24
2,0,1,1,1,0,1,0,0,0,2,0,0,0,2,23,Male, Black (NH),CT,Time of Arrest,"('Marijuana',)",Marijuana,18-24
1,0,1,2,1,0,1,0,0,0,2,1,1,0,1,54,Male, Black (NH),FL,Time of Arrest,"('Cocaine', 'Alcohol')",More than one drugs,45-54
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,46,Male, Black (NH),NJ,More than a year ago,"('Alcohol',)",Alcohol,45-54
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,45,Male, White (NH),PA,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,45-54
2,2,1,0,1,0,1,0,0,0,2,0,0,0,2,37,Male, 2+ Races (NH),LA,Past 30 days,"('Marijuana',)",Marijuana,35-44
1,2,1,1,1,1,1,0,0,0,2,1,1,1,1,28,Male, Black (NH),VA,Time of Arrest,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,25-34
1,1,1,0,0,0,2,0,0,0,2,0,0,0,2,43,Male, Black (NH),NC,Time of Arrest,"('Alcohol',)",Alcohol,35-44
2,1,1,2,1,1,1,0,0,0,2,2,1,1,1,34,Male, Hispanic,TX,Past 30 days,"('Marijuana', 'Cocaine')",More than one drugs,25-34
2,0,1,0,1,1,1,0,0,0,2,0,2,2,1,32,Male, Hispanic,AK,Past 30 days,"('Marijuana',)",Marijuana,25-34
2,2,1,1,1,0,1,0,0,0,2,2,2,0,1,51,Female, White (NH),TX,Time of Arrest,"('Marijuana',)",Marijuana,45-54
1,0,1,0,2,2,1,0,0,0,2,0,2,2,1,28,Male, Hispanic,AZ,Time of Arrest,"('Alcohol',)",Alcohol,25-34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,Male, Black (NH),  ,Never used,(),No use,35-44
1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,52,Male, Uncategorized - Missing,NY,Time of Arrest,"('Marijuana', 'Heroin', 'Cocaine', 'Alcohol')",More than one drugs,45-54
2,0,1,2,2,2,1,0,0,0,2,2,2,2,1,42,Female, White (NH),MS,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,35-44
2,0,1,0,1,1,1,0,0,0,2,0,0,0,2,31,Male, Black (NH),MI,Past 30 days,"('Marijuana',)",Marijuana,25-34
2,0,1,2,1,1,1,0,0,0,2,2,2,1,1,36,Male, White (NH),TX,Past 30 days,"('Marijuana',)",Marijuana,35-44
2,2,1,1,1,1,1,0,0,0,2,0,0,0,2,39,Male, Black (NH),KS,Time of Arrest,"('Marijuana',)",Marijuana,35-44
1,2,1,1,1,1,1,0,0,0,2,0,0,0,2,28,Male, Black (NH),MI,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,0,1,2,2,0,1,2,2,0,1,2,2,0,1,32,Male, White (NH),KY,More than a year ago,"('Marijuana', 'Heroin', 'Cocaine', 'Alcohol')",More than one drugs,25-34
1,0,1,1,1,0,1,0,0,0,2,0,0,0,2,36,Male, 2+ Races (NH),IL,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,35-44
2,2,1,0,1,1,1,0,0,0,2,0,0,0,2,52,Male, Black (NH),PA,Past 30 days,"('Marijuana',)",Marijuana,45-54
1,1,1,1,1,1,1,0,0,0,2,2,2,2,1,46,Male, Black (NH),WI,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,45-54
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,28,Male, Black (NH),MI,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,0,1,2,2,2,1,1,1,1,1,2,2,2,1,27,Female, White (NH),IN,Time of Arrest,"('Heroin',)",Heroin,25-34
1,0,1,2,1,0,1,0,0,0,2,1,1,0,1,47,Female, White (NH),FL,Time of Arrest,"('Cocaine', 'Alcohol')",More than one drugs,45-54
1,1,1,2,1,1,1,0,0,0,2,1,1,1,1,27,Male, Hispanic,IL,Time of Arrest,"('Cocaine', 'Alcohol')",More than one drugs,25-34
2,1,1,1,1,1,1,0,0,0,2,0,0,0,2,18,Male, Black (NH),NC,Time of Arrest,"('Marijuana',)",Marijuana,<18
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,49,Male, Black (NH),IL,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,45-54
2,0,1,2,1,2,1,0,0,0,2,1,1,2,1,48,Male, Black (NH),TX,Time of Arrest,"('Cocaine',)",Cocaine,45-54
1,0,1,1,1,0,1,0,0,0,2,2,2,0,1,43,Male, White (NH),IL,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,35-44
2,0,1,0,0,0,2,0,0,0,2,0,2,2,1,35,Male, Hispanic,-1,More than a year ago,"('Cocaine', 'Alcohol')",More than one drugs,35-44
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,51,Male, Hispanic,TX,More than a year ago,"('Alcohol',)",Alcohol,45-54
1,1,1,0,2,2,1,0,0,0,2,0,0,0,2,36,Male, White (NH),GA,Time of Arrest,"('Alcohol',)",Alcohol,35-44
1,2,1,0,1,1,1,0,0,0,2,0,1,1,1,46,Male, Black (NH),TN,Time of Arrest,"('Alcohol',)",Alcohol,45-54
2,1,1,2,1,0,1,1,2,0,1,2,2,0,1,29,Female, Uncategorized - Missing,CA,Time of Arrest,"('Heroin',)",Heroin,25-34
2,0,1,1,1,0,1,0,0,0,2,0,0,0,2,36,Male, Black (NH),SC,Time of Arrest,"('Marijuana',)",Marijuana,35-44
1,0,1,0,1,1,1,0,0,0,2,0,0,0,2,24,Female, Black (NH),SC,Time of Arrest,"('Alcohol',)",Alcohol,18-24
2,0,1,1,1,1,1,0,0,0,2,0,0,0,2,29,Male, 2+ Races (NH),MI,Time of Arrest,"('Marijuana',)",Marijuana,25-34
1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,51,Female, Black (NH),MI,Time of Arrest,"('Heroin', 'Cocaine', 'Alcohol')",More than one drugs,45-54
2,2,1,0,2,2,1,0,0,0,2,0,0,0,2,34,Male, White (NH),OK,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,0,1,1,1,0,1,0,0,0,2,0,0,0,2,25,Male, Black (NH),AL,Time of Arrest,"('Marijuana',)",Marijuana,25-34
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,34,Male, Hispanic,PA,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,0,1,0,1,2,1,0,0,0,2,0,1,2,1,43,Male, Black (NH),TN,Past 30 days,"('Marijuana', 'Cocaine')",More than one drugs,35-44
2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,26,Male, White (NH),NY,Time of Arrest,"('Heroin',)",Heroin,25-34
2,0,1,1,1,0,1,0,0,0,2,2,1,0,1,32,Male, White (NH),CA,Time of Arrest,"('Marijuana',)",Marijuana,25-34
1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,30,Male, American Indian/Alaska Native (NH),NV,Time of Arrest,"('Alcohol',)",Alcohol,25-34
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,56,Male, Black (NH),GA,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,55-64
2,0,1,1,1,0,1,0,0,0,2,0,0,0,2,34,Male, Black (NH),MO,Time of Arrest,"('Marijuana',)",Marijuana,25-34
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,28,Male, Black (NH),CA,Never used,(),No use,25-34
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,36,Male, Hispanic,OH,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,35-44
1,2,1,1,1,1,1,0,0,0,2,2,1,1,1,28,Male, Hispanic,PR,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,2,1,2,1,1,1,2,1,1,1,2,2,1,1,31,Male, White (NH),HI,Past 30 days,"('Marijuana', 'Heroin')",More than one drugs,25-34
2,0,1,1,2,0,1,2,2,0,1,2,2,0,1,39,Male, Hispanic,NJ,Time of Arrest,"('Marijuana',)",Marijuana,35-44
2,0,1,2,1,0,1,0,0,0,2,0,0,0,2,32,Male, Black (NH),AL,Past 30 days,"('Marijuana',)",Marijuana,25-34
1,1,1,0,0,0,2,0,0,0,2,0,2,2,1,39,Female, Black (NH),NV,Time of Arrest,"('Alcohol',)",Alcohol,35-44
2,0,1,0,2,1,1,0,2,2,1,0,1,1,1,52,Female, White (NH),HI,Past 30 days,"('Cocaine',)",Cocaine,45-54
2,1,1,1,1,0,1,0,0,0,2,1,1,0,1,59,Male, Black (NH),CA,Time of Arrest,"('Marijuana', 'Cocaine')",More than one drugs,55-64
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,36,Male, 2+ Races (NH),FL,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,35-44
0,0,2,0,2,0,1,0,1,0,1,0,1,0,1,25,Male, White (NH),NY,Past 30 days,"('Heroin', 'Cocaine')",More than one drugs,25-34
2,0,1,2,2,2,1,0,0,0,2,1,1,2,1,31,Female, White (NH),NC,Time of Arrest,"('Cocaine',)",Cocaine,25-34
1,0,1,2,2,2,1,0,0,0,2,0,0,0,2,23,Male, White (NH),MA,Time of Arrest,"('Alcohol',)",Alcohol,18-24
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,44,Female, White (NH),IN,More than a year ago,"('Alcohol',)",Alcohol,35-44
1,1,1,2,2,2,1,0,0,0,2,1,1,1,1,55,Male, White (NH),MI,Time of Arrest,"('Cocaine', 'Alcohol')",More than one drugs,55-64
0,0,2,0,1,2,1,0,0,0,2,0,0,0,2,49,Female, Hispanic,MA,Past 30 days,"('Marijuana',)",Marijuana,45-54
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,50,Male, Hispanic,AZ,Never used,(),No use,45-54
2,1,1,0,1,1,1,0,0,0,2,0,0,0,2,34,Male, Hispanic,TX,Past 30 days,"('Marijuana',)",Marijuana,25-34
2,0,1,1,1,2,1,0,0,0,2,0,0,0,2,44,Male, Black (NH),MS,Time of Arrest,"('Marijuana',)",Marijuana,35-44
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,29,Male, White (NH),GA,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,0,1,1,1,1,1,0,0,0,2,0,0,0,2,21,Female, Black (NH),GA,Time of Arrest,"('Marijuana',)",Marijuana,18-24
2,0,1,1,1,1,1,0,0,0,2,2,2,2,1,54,Female, Black (NH),PA,Time of Arrest,"('Marijuana',)",Marijuana,45-54
2,0,1,1,1,0,1,0,0,0,2,2,2,0,1,31,Female, 2+ Races (NH),SC,Time of Arrest,"('Marijuana',)",Marijuana,25-34
1,0,1,2,2,0,1,0,0,0,2,2,1,0,1,44,Female, Black (NH),VA,Time of Arrest,"('Alcohol',)",Alcohol,35-44
2,2,1,0,2,1,1,0,1,1,1,0,2,2,1,46,Male, White (NH),WA,Past 30 days,"('Heroin',)",Heroin,45-54
1,0,1,2,2,0,1,0,0,0,2,1,1,0,1,51,Female, White (NH),MO,Time of Arrest,"('Cocaine', 'Alcohol')",More than one drugs,45-54
2,0,1,2,1,1,1,2,2,2,1,2,2,2,1,21,Male, White (NH),CA,Past 30 days,"('Marijuana',)",Marijuana,18-24
2,0,1,0,2,1,1,0,0,0,2,0,0,0,2,44,Male, Hispanic,CA,Past 12 months,"('Marijuana',)",Marijuana,35-44
1,0,1,1,1,0,1,0,0,0,2,2,2,0,1,46,Male, 2+ Races (NH),PA,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,45-54
2,0,1,0,2,2,1,0,0,0,2,0,2,2,1,46,Male, Hispanic,TX,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,32,Female, Black (NH),NJ,Time of Arrest,"('Heroin', 'Cocaine')",More than one drugs,25-34
2,0,1,2,2,2,1,2,2,1,1,2,2,2,1,39,Female, 2+ Races (NH),WI,Past 30 days,"('Heroin',)",Heroin,35-44
2,2,1,0,2,2,1,0,2,2,1,0,2,2,1,42,Male, White (NH),VA,More than a year ago,"('Marijuana', 'Heroin', 'Cocaine', 'Alcohol')",More than one drugs,35-44
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,40,Male, Hispanic,TX,More than a year ago,"('Alcohol',)",Alcohol,35-44
1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,25,Male, 2+ Races (NH),NC,Time of Arrest,"('Heroin', 'Alcohol')",More than one drugs,25-34
0,0,2,1,1,0,1,0,0,0,2,0,0,0,2,36,Male, Black (NH),TN,Time of Arrest,"('Marijuana',)",Marijuana,35-44
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,69,Male, Hispanic,AZ,More than a year ago,"('Alcohol',)",Alcohol,64+
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,48,Male, Black (NH),LA,Never used,(),No use,45-54
2,2,1,0,0,0,2,0,0,0,2,0,0,0,2,42,Male, Black (NH),AL,More than a year ago,"('Alcohol',)",Alcohol,35-44
2,0,1,0,2,0,1,0,0,0,2,0,2,0,1,45,Male, American Indian/Alaska Native (NH),TX,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
2,1,1,0,2,2,1,0,0,0,2,0,2,2,1,58,Male, 2+ Races (NH),MI,Past 12 months,"('Alcohol',)",Alcohol,55-64
1,1,1,1,1,0,1,0,0,0,2,1,1,0,1,59,Male, Black (NH),CA,Time of Arrest,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,55-64
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,43,Male, 2+ Races (NH),MI,More than a year ago,"('Alcohol',)",Alcohol,35-44
0,0,2,1,1,0,1,0,0,0,2,0,0,0,2,64,Male, White (NH),NY,Time of Arrest,"('Marijuana',)",Marijuana,55-64
2,0,1,0,2,0,1,0,2,0,1,0,0,0,2,39,Female, White (NH),VA,More than a year ago,"('Marijuana', 'Heroin', 'Alcohol')",More than one drugs,35-44
2,0,1,2,1,0,1,1,1,0,1,2,2,0,1,45,Male, Black (NH),IL,Time of Arrest,"('Heroin',)",Heroin,45-54
2,0,1,2,2,2,1,0,0,0,2,0,0,0,2,24,Female, American Indian/Alaska Native (NH),SD,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,18-24
2,2,1,0,2,2,1,0,0,0,2,0,2,2,1,52,Male, White (NH),IN,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
2,2,1,0,2,1,1,0,0,0,2,0,2,2,1,26,Female, Hispanic,TX,Past 12 months,"('Marijuana',)",Marijuana,25-34
1,1,1,0,0,0,2,0,0,0,2,0,0,0,2,25,Male, Black (NH),FL,Time of Arrest,"('Alcohol',)",Alcohol,25-34
1,0,1,0,1,1,1,0,0,0,2,0,0,0,2,20,Male, Black (NH),IL,Time of Arrest,"('Alcohol',)",Alcohol,18-24
2,0,1,0,2,0,1,0,0,0,2,0,2,0,1,57,Male, Black (NH),MO,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,55-64
2,2,1,0,1,0,1,0,0,0,2,0,1,0,1,49,Male, White (NH),FL,Past 30 days,"('Marijuana', 'Cocaine')",More than one drugs,45-54
1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,21,Female, White (NH),MI,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,18-24
2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,25,Male, Hispanic,WI,Time of Arrest,"('Marijuana', 'Cocaine')",More than one drugs,25-34
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,39,Female, 2+ Races (NH),MA,Never used,(),No use,35-44
2,0,1,2,2,2,1,2,2,1,1,2,2,2,1,26,Female, 2+ Races (NH),VA,Past 30 days,"('Heroin',)",Heroin,25-34
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,29,Male, Hispanic,TX,Never used,(),No use,25-34
2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,27,Female, White (NH),UT,Time of Arrest,"('Marijuana', 'Heroin', 'Cocaine')",More than one drugs,25-34
2,0,1,0,2,0,1,0,0,0,2,0,2,0,1,52,Male, Black (NH),NC,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
1,0,1,0,0,0,2,0,0,0,2,0,0,0,2,34,Male, Hispanic,TX,Time of Arrest,"('Alcohol',)",Alcohol,25-34
2,1,1,0,1,1,1,0,0,0,2,0,2,2,1,38,Male, 2+ Races (NH),OH,Past 30 days,"('Marijuana',)",Marijuana,35-44
0,0,2,2,1,1,1,0,0,0,2,0,0,0,2,33,Male, Hispanic,NM,Past 30 days,"('Marijuana',)",Marijuana,25-34
2,0,1,1,1,1,1,0,0,0,2,0,0,0,2,25,Male, Black (NH),GA,Time of Arrest,"('Marijuana',)",Marijuana,25-34
2,2,1,0,1,0,1,0,0,0,2,0,2,0,1,52,Male, White (NH),IL,Past 30 days,"('Marijuana',)",Marijuana,45-54
1,2,1,2,2,1,1,0,0,0,2,2,2,2,1,36,Male, White (NH),AR,Time of Arrest,"('Alcohol',)",Alcohol,35-44
1,1,1,1,1,0,1,0,0,0,2,1,1,0,1,30,Male, Hispanic,TX,Time of Arrest,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,25-34
1,2,1,0,2,2,1,0,0,0,2,0,2,2,1,54,Male, White (NH),NY,Time of Arrest,"('Alcohol',)",Alcohol,45-54
2,2,1,0,2,1,1,0,0,0,2,0,1,1,1,45,Male, 2+ Races (NH),VA,Past 30 days,"('Cocaine',)",Cocaine,45-54
1,2,1,1,1,1,1,0,0,0,2,1,1,1,1,30,Male, Black (NH),OK,Time of Arrest,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,25-34
2,0,1,0,1,1,1,0,0,0,2,0,2,2,1,54,Male, 2+ Races (NH),IL,Past 30 days,"('Marijuana',)",Marijuana,45-54
2,0,1,2,2,0,1,0,0,0,2,2,2,0,1,33,Female, White (NH),WV,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,25-34
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,48,Male, Hispanic,WA,Never used,(),No use,45-54
2,0,1,0,1,1,1,0,0,0,2,0,0,0,2,25,Male, White (NH),MO,Past 30 days,"('Marijuana',)",Marijuana,25-34
2,0,1,0,1,2,1,0,0,0,2,0,2,2,1,61,Male, White (NH),MD,Past 30 days,"('Marijuana',)",Marijuana,55-64
2,0,1,2,1,2,1,1,1,2,1,2,2,2,1,39,Male, Hispanic,TX,Time of Arrest,"('Heroin',)",Heroin,35-44
2,2,1,2,2,2,1,0,0,0,2,1,1,1,1,23,Male, Hispanic,-1,Time of Arrest,"('Cocaine',)",Cocaine,18-24
1,1,1,2,1,0,1,2,2,0,1,2,2,0,1,40,Male, Hispanic,SD,Time of Arrest,"('Alcohol',)",Alcohol,35-44
2,2,1,0,1,1,1,0,0,0,2,0,0,0,2,37,Female, White (NH),GA,Past 30 days,"('Marijuana',)",Marijuana,35-44
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,54,Male, Hispanic,CA,More than a year ago,"('Alcohol',)",Alcohol,45-54
1,0,1,1,1,1,1,0,0,0,2,1,1,1,1,50,Male, Hispanic,FL,Time of Arrest,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
2,0,1,0,0,0,2,0,0,0,2,0,1,0,1,69,Male, Black (NH),AL,Past 30 days,"('Cocaine',)",Cocaine,64+
2,0,1,0,1,0,1,0,0,0,2,0,2,0,1,30,Male, White (NH),NY,Past 30 days,"('Marijuana',)",Marijuana,25-34
2,0,1,2,1,1,1,0,0,0,2,2,1,2,1,28,Male, Hispanic,CA,Past 30 days,"('Marijuana', 'Cocaine')",More than one drugs,25-34
1,0,1,1,1,1,1,2,1,1,1,2,2,2,1,23,Male, White (NH),VT,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,18-24
0,0,2,0,2,0,1,0,0,0,2,0,0,0,2,55,Female, 2+ Races (NH),IN,More than a year ago,"('Marijuana',)",Marijuana,55-64
2,0,1,2,1,1,1,1,1,1,1,0,0,0,2,42,Male, Hispanic,TX,Time of Arrest,"('Heroin',)",Heroin,35-44
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,47,Female, White (NH),AR,More than a year ago,"('Alcohol',)",Alcohol,45-54
2,2,1,0,2,1,1,0,1,1,1,0,1,1,1,37,Female, White (NH),IN,Past 30 days,"('Heroin', 'Cocaine')",More than one drugs,35-44
2,0,1,0,1,0,1,0,0,0,2,0,2,0,1,24,Male, Hispanic,TX,Past 30 days,"('Marijuana',)",Marijuana,18-24
2,0,1,2,2,0,1,0,0,0,2,1,1,0,1,49,Female, Black (NH),MS,Time of Arrest,"('Cocaine',)",Cocaine,45-54
2,2,1,0,1,1,1,0,0,0,2,0,0,0,2,28,Male, Hispanic,FL,Past 30 days,"('Marijuana',)",Marijuana,25-34
2,0,1,1,1,1,1,2,2,2,1,2,2,2,1,24,Male, White (NH),PA,Time of Arrest,"('Marijuana',)",Marijuana,18-24
1,1,1,1,1,1,1,0,0,0,2,1,1,1,1,33,Male, Black (NH),VA,Time of Arrest,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,25-34
2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,55,Male, Hispanic,AZ,More than a year ago,"('Marijuana', 'Heroin', 'Cocaine', 'Alcohol')",More than one drugs,55-64
1,1,1,2,2,2,1,0,0,0,2,1,1,1,1,46,Female, 2+ Races (NH),WI,Time of Arrest,"('Cocaine', 'Alcohol')",More than one drugs,45-54
2,0,1,0,2,2,1,0,0,0,2,0,2,2,1,43,Female, White (NH),NC,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,35-44
1,0,1,2,2,2,1,0,0,0,2,2,1,2,1,33,Male, Hispanic,WA,Time of Arrest,"('Alcohol',)",Alcohol,25-34
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,25,Male, Hispanic,-1,More than a year ago,"('Alcohol',)",Alcohol,25-34
1,1,1,1,1,1,1,0,0,0,2,2,1,1,1,27,Male, 2+ Races (NH),GA,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,25-34
1,0,1,2,2,2,1,0,0,0,2,0,0,0,2,40,Female, White (NH),OR,Time of Arrest,"('Alcohol',)",Alcohol,35-44
1,1,1,2,2,2,1,0,0,0,2,1,1,1,1,40,Male, Hispanic,TX,Time of Arrest,"('Cocaine', 'Alcohol')",More than one drugs,35-44
1,1,1,2,2,0,1,1,1,0,1,2,1,0,1,54,Male, White (NH),TX,Time of Arrest,"('Heroin', 'Alcohol')",More than one drugs,45-54
1,0,1,0,1,0,1,0,0,0,2,0,0,0,2,54,Male, Black (NH),GA,Time of Arrest,"('Alcohol',)",Alcohol,45-54
1,1,1,0,0,0,2,0,0,0,2,0,0,0,2,56,Male, Black (NH),IN,Time of Arrest,"('Alcohol',)",Alcohol,55-64
2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,41,Male, Black (NH),NE,Past 30 days,"('Marijuana',)",Marijuana,35-44
1,1,1,0,0,0,2,0,0,0,2,0,0,0,2,63,Male, White (NH),CA,Time of Arrest,"('Alcohol',)",Alcohol,55-64
-2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,44,Male, Hispanic,OR,More than a year ago,"('Alcohol',)",Alcohol,35-44
1,2,1,0,2,0,1,0,0,0,2,0,2,0,1,39,Male, Black (NH),PA,Time of Arrest,"('Alcohol',)",Alcohol,35-44
0,0,2,0,2,1,1,0,0,0,2,0,0,0,2,24,Male, Black (NH),FL,Past 12 months,"('Marijuana',)",Marijuana,18-24
2,0,1,2,1,1,1,1,1,1,1,2,2,2,1,32,Female, Hispanic,WA,Time of Arrest,"('Heroin',)",Heroin,25-34
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,44,Male, Black (NH),MO,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,35-44
1,1,1,1,1,0,1,0,0,0,2,1,1,0,1,48,Male, White (NH),IN,Time of Arrest,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
2,2,1,0,1,1,1,0,0,0,2,0,0,0,2,40,Male, Hispanic,CA,Past 30 days,"('Marijuana',)",Marijuana,35-44
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,44,Female, Uncategorized - Missing,OR,More than a year ago,"('Alcohol',)",Alcohol,35-44
2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,29,Male, Black (NH),MI,Past 30 days,"('Marijuana',)",Marijuana,25-34
1,1,1,0,0,0,2,1,1,1,1,2,2,2,1,38,Female, American Indian/Alaska Native (NH),NM,Time of Arrest,"('Heroin', 'Alcohol')",More than one drugs,35-44
2,1,1,0,2,1,1,0,2,2,1,0,1,1,1,24,Male, White (NH),MS,Past 30 days,"('Cocaine',)",Cocaine,18-24
2,2,1,1,1,1,1,0,0,0,2,2,2,2,1,49,Male, White (NH),CA,Time of Arrest,"('Marijuana',)",Marijuana,45-54
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,32,Female, Hispanic,CA,Never used,(),No use,25-34
1,2,1,0,1,1,1,0,0,0,2,0,0,0,2,50,Male, Black (NH),MS,Time of Arrest,"('Alcohol',)",Alcohol,45-54
-2,0,1,0,0,0,1,0,0,0,2,0,0,0,2,34,Male, Black (NH),SC,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,0,1,0,1,0,1,0,0,0,2,0,1,0,1,35,Female, Black (NH),IA,Past 30 days,"('Marijuana', 'Cocaine')",More than one drugs,35-44
2,2,1,0,2,2,1,0,0,0,2,0,2,2,1,60,Male, White (NH),CT,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,55-64
2,2,1,0,2,0,1,0,0,0,2,0,0,0,2,67,Male, White (NH),AR,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,64+
2,2,1,0,0,0,2,0,0,0,2,0,0,0,2,58,Female, Hispanic,FL,More than a year ago,"('Alcohol',)",Alcohol,55-64
2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,57,Male, Black (NH),TX,Time of Arrest,"('Cocaine',)",Cocaine,55-64
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,21,Male, Black (NH),OH,More than a year ago,"('Alcohol',)",Alcohol,18-24
0,0,-2,0,0,0,-2,0,0,0,-2,0,0,0,-2,27,Male, Black (NH),-2,Never used,(),No use,25-34
1,2,1,1,1,1,1,0,0,0,2,0,0,0,2,25,Male, Black (NH),IL,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,25-34
1,0,1,2,1,2,1,0,0,0,2,1,1,2,1,34,Female, Black (NH),NE,Time of Arrest,"('Cocaine', 'Alcohol')",More than one drugs,25-34
0,0,2,0,2,2,1,0,0,0,2,0,0,0,2,31,Male, Black (NH),LA,More than a year ago,"('Marijuana',)",Marijuana,25-34
2,1,1,0,2,2,1,0,0,0,2,0,2,2,1,35,Female, White (NH),SC,Past 12 months,"('Alcohol',)",Alcohol,35-44
2,0,1,0,0,0,2,0,0,0,2,0,2,2,1,43,Male, Black (NH),LA,More than a year ago,"('Cocaine', 'Alcohol')",More than one drugs,35-44
